"analysis","model","threshold","ROC_AUC","sensitivity","specificity","balanced_accuracy","accuracy","TP","FP","FN","TN"
"Post-hoc: 16 immune predictors + vaccination","Equal-weight ensemble",0.291513344479919,0.857816711590296,0.75,0.962264150943396,0.856132075471698,0.917910447761194,21,4,7,102
"Post-hoc: 16 immune predictors + vaccination","Random Forest",0.27618,0.855121293800539,0.785714285714286,0.905660377358491,0.845687331536388,0.880597014925373,22,10,6,96
"Post-hoc: 16 immune predictors + vaccination","XGBoost",0.467148616909981,0.851415094339623,0.642857142857143,0.990566037735849,0.816711590296496,0.917910447761194,18,1,10,105
"Post-hoc: 16 immune predictors + vaccination","Elastic Net",0.305412616489575,0.82243935309973,0.678571428571429,0.971698113207547,0.825134770889488,0.91044776119403,19,3,9,103
