"model","metric","Vaccination","Primary","change","change_percentage_points"
"Elastic Net","ROC AUC",0.82243935309973,0.827156334231806,-0.00471698113207597,-0.471698113207597
"Elastic Net","Sensitivity",0.678571428571429,0.678571428571429,0,0
"Elastic Net","Specificity",0.971698113207547,0.971698113207547,0,0
"Elastic Net","Balanced accuracy",0.825134770889488,0.825134770889488,0,0
"Elastic Net","Accuracy",0.91044776119403,0.91044776119403,0,0
"Equal-weight ensemble","ROC AUC",0.857816711590296,0.856805929919138,0.00101078167115809,0.101078167115809
"Equal-weight ensemble","Sensitivity",0.75,0.785714285714286,-0.035714285714286,-3.5714285714286
"Equal-weight ensemble","Specificity",0.962264150943396,0.924528301886792,0.037735849056604,3.7735849056604
"Equal-weight ensemble","Balanced accuracy",0.856132075471698,0.855121293800539,0.00101078167115898,0.101078167115898
"Equal-weight ensemble","Accuracy",0.917910447761194,0.895522388059702,0.022388059701492,2.2388059701492
"Random Forest","ROC AUC",0.855121293800539,0.857479784366577,-0.00235849056603799,-0.235849056603799
"Random Forest","Sensitivity",0.785714285714286,0.785714285714286,0,0
"Random Forest","Specificity",0.905660377358491,0.905660377358491,0,0
"Random Forest","Balanced accuracy",0.845687331536388,0.845687331536388,0,0
"Random Forest","Accuracy",0.880597014925373,0.880597014925373,0,0
"XGBoost","ROC AUC",0.851415094339623,0.849393530997305,0.00202156334231807,0.202156334231807
"XGBoost","Sensitivity",0.642857142857143,0.678571428571429,-0.035714285714286,-3.5714285714286
"XGBoost","Specificity",0.990566037735849,0.952830188679245,0.037735849056604,3.7735849056604
"XGBoost","Balanced accuracy",0.816711590296496,0.815700808625337,0.00101078167115898,0.101078167115898
"XGBoost","Accuracy",0.917910447761194,0.895522388059702,0.022388059701492,2.2388059701492
