"model","threshold","ROC_AUC","sensitivity","specificity","balanced_accuracy","accuracy"
"Random Forest",0.27532,0.857479784366577,0.785714285714286,0.905660377358491,0.845687331536388,0.880597014925373
"Equal-weight ensemble",0.260584654012827,0.856805929919138,0.785714285714286,0.924528301886792,0.855121293800539,0.895522388059702
"XGBoost",0.391719083487988,0.849393530997305,0.678571428571429,0.952830188679245,0.815700808625337,0.895522388059702
"Elastic Net",0.299810479409315,0.827156334231806,0.678571428571429,0.971698113207547,0.825134770889488,0.91044776119403
