"model","Brier_score","calibration_intercept","calibration_slope","HL_chi_square","HL_df","HL_p_value"
"Elastic Net",0.110503757373315,0.00397013770539419,2.27716599512949,17.0226786845643,8,0.029873792854808
"Random Forest",0.0881177971757048,-0.0480127322658386,1.46610984742184,18.8450753777024,8,0.0157105064515368
"XGBoost",0.0897277490111845,0.099918641317106,1.00423346156679,13.4821143535717,8,0.0963032004845232
"Equal-weight ensemble",0.0909820837579697,0.0113954372173018,1.74556047224285,16.0375982248369,8,0.0418451164725007
