"analysis","model","threshold","ROC_AUC","sensitivity","specificity","balanced_accuracy","accuracy"
"Post-hoc: 16 immune predictors + vaccination","Elastic Net",0.305412616489575,0.82243935309973,0.678571428571429,0.971698113207547,0.825134770889488,0.91044776119403
"Primary: 16 immune predictors","Elastic Net",0.299810479409315,0.827156334231806,0.678571428571429,0.971698113207547,0.825134770889488,0.91044776119403
"Post-hoc: 16 immune predictors + vaccination","Equal-weight ensemble",0.291513344479919,0.857816711590296,0.75,0.962264150943396,0.856132075471698,0.917910447761194
"Primary: 16 immune predictors","Equal-weight ensemble",0.260584654012827,0.856805929919138,0.785714285714286,0.924528301886792,0.855121293800539,0.895522388059702
"Post-hoc: 16 immune predictors + vaccination","Random Forest",0.27618,0.855121293800539,0.785714285714286,0.905660377358491,0.845687331536388,0.880597014925373
"Primary: 16 immune predictors","Random Forest",0.27532,0.857479784366577,0.785714285714286,0.905660377358491,0.845687331536388,0.880597014925373
"Post-hoc: 16 immune predictors + vaccination","XGBoost",0.467148616909981,0.851415094339623,0.642857142857143,0.990566037735849,0.816711590296496,0.917910447761194
"Primary: 16 immune predictors","XGBoost",0.391719083487988,0.849393530997305,0.678571428571429,0.952830188679245,0.815700808625337,0.895522388059702
